year,cleaned,office,uncleaned,source
2002,813.413793103448,house,,icpsr
2004,1117.71428571429,house,,icpsr
2006,1158.48214285714,house,,icpsr
2008,1196.4,house,,icpsr
2010,1505.8454365079351,house,,icpsr
2012,1460.8125,house,,icpsr
2014,1499.05648064004,house,,icpsr
2016,1678.4097902097901,house,,icpsr
2018,1789.3020696091348,house,2693.0,extension
2020,2042.848664529914,house,2810.183581349206,extension
2022,2009.4592105263157,house,2799.4166666666665,extension
2024,2082.2777856201774,house,2940.9917582417584,extension
2002,1312.4083269443736,senate,2334.0359795134445,extension
2004,1185.6403508771928,senate,1718.5342003468056,extension
2006,1754.9930747567846,senate,2814.8489246176937,extension
2008,1737.4195157175493,senate,2376.78438113232,extension
2010,2109.3608077686204,senate,2816.6649045399045,extension
2012,1836.9396650326796,senate,2697.050120634921,extension
2014,1989.532499469722,senate,2858.015424228258,extension
2016,2036.2172319474093,senate,2798.5798983625073,extension
2018,1835.8850649350647,senate,2406.7985739750447,extension
2020,1764.8657706093186,senate,2879.8333889165424,extension
2022,2283.0946138211384,senate,3217.758943089431,extension
2024,3179.155555555555,senate,4391.767410714286,extension
