topic,r_all,r_D,r_R
Agriculture and Farmers,0.037486471248651204,0.09610843469169705,-0.008635322096818592
Centralisation,0.12127223369430616,0.09548547054142671,-0.05106057707062437
Civic Mindedness,-0.07473653403589281,-0.10485538006950673,0.09377369306273996
Constitutionalism,0.18905344651158484,0.1331894617190063,0.053736036001188016
Culture,0.0522707466772778,0.004021588573394238,0.02706294776254926
Democracy,-0.02517981262040962,-0.03477641807781528,0.05725444190137767
Economic Planning,0.15790518953115162,0.02864620669022347,-0.08672127719579142
Education,-0.16642477602001157,-0.08192275772924461,-0.07860246766407762
Equality,-0.29392451066643427,-0.08918016201852369,0.07610218236951057
Foreign Special Relationships,0.14655183039903436,0.06375452313809644,0.047205499517755885
Free Market Economy,0.2321301477000969,0.04313323298339458,0.00922574601142257
Freedom and Human Rights,0.14479355108829278,0.004632257764859455,0.09474844584140159
Governmental and Administrative Efficiency,0.20115598900172696,0.10509309371722743,-0.06988832450234432
Incentives,0.08917997897565072,0.044488971667689205,-0.10517750032295257
Internationalism,0.11367923779832992,0.07165999112072922,-0.01856052173542271
Labour Groups,-0.19039889749446484,0.010267482349986682,-0.11311585554863242
Law and Order,0.14165076232716947,0.044021276580811765,0.03001303079643219
Market Regulation,-0.10502409810798541,-0.07037275937066678,-0.060653402249296204
Military,0.15408895867536296,-0.02590699793486966,0.0468874091355049
Multiculturalism,-0.025244060448162457,-0.02336244563890804,0.035255595080891426
National Way of Life,0.2090520807366529,-0.0374685261784514,0.15753043408443768
Other,0.12815504567822839,0.028107894682666897,-0.0065292044337209535
Peace,0.08917252284431278,0.03946775840755773,0.03876512742630765
Political Authority,0.17151786871477886,0.07937033880430548,-0.0040964520767004745
Political Corruption,-0.006120128053197888,-0.0031231355428579526,0.017582574745089646
Protectionism,0.10392076556301404,0.12992224302398628,0.0012057285998012834
Social Groups,-0.0513104783750763,-0.08269321538086474,-0.026986633299106805
Sustainability,-0.028532124827417328,0.11110829032334112,-0.06609918982842386
Technology and Infrastructure,-0.056019651124984304,0.05959944173187224,-0.08276491831315518
Traditional Morality,0.13606541958940313,0.04634414865693249,0.17212108790285924
Welfare State,-0.33577434808147,-0.015466179241659507,-0.08274828044274642
