office,year,roster,has_url,captured,pct_of_roster,pct_of_url
house,2018,1857,1803,1405,75.6596661281637,77.92567942318358
house,2020,1925,1883,1475,76.62337662337663,78.33244822092406
house,2022,2187,2143,1691,77.32053040695016,78.90807279514699
house,2024,1659,1624,1220,73.53827606992164,75.1231527093596
senate,2002,28,26,13,46.42857142857143,50.0
senate,2004,77,76,51,66.23376623376623,67.10526315789474
senate,2006,109,108,85,77.98165137614679,78.70370370370371
senate,2008,131,127,107,81.6793893129771,84.25196850393701
senate,2010,227,224,147,64.75770925110132,65.625
senate,2012,222,213,156,70.27027027027027,73.2394366197183
senate,2014,196,190,156,79.59183673469387,82.10526315789474
senate,2016,180,177,137,76.11111111111111,77.40112994350282
senate,2018,209,207,128,61.24401913875598,61.83574879227053
senate,2020,264,260,174,65.9090909090909,66.92307692307692
senate,2022,337,329,237,70.32640949554896,72.03647416413374
senate,2024,240,235,171,71.25,72.76595744680851
