office,year,source,n_ballot,n_matched,pct_cand,votes_total,votes_matched,pct_votes
house,2018,extension,832,627,75.36057692307692,109671939,87032502,79.35712890058413
house,2020,extension,862,654,75.87006960556845,149551319,118407608,79.1752348235725
house,2022,extension,846,627,74.11347517730496,105036684,82184912,78.24400854086369
house,2024,extension,847,583,68.83116883116882,144280147,104485345,72.41837991750867
house,2002,icpsr,788,351,44.54314720812182,69819019,29319580,41.99368656268287
house,2004,icpsr,805,461,57.267080745341616,107068782,57819688,54.00237764916388
house,2006,icpsr,835,481,57.60479041916168,77357132,43523324,56.26284593901439
house,2008,icpsr,806,476,59.05707196029777,115224639,63845800,55.40985031855904
house,2010,icpsr,838,561,66.94510739856801,83208722,51612726,62.02802393720216
house,2012,icpsr,833,548,65.78631452581033,116466502,73633898,63.22324164934567
house,2014,icpsr,811,500,61.652281134401974,74510102,45114363,60.54798180252122
house,2016,icpsr,831,508,61.13116726835138,123730117,74710281,60.38164580414969
senate,2002,extension,69,12,17.391304347826086,42668782,6425707,15.059504159270354
senate,2004,extension,70,29,41.42857142857143,83546452,35186712,42.11634504838099
senate,2006,extension,64,37,57.8125,59880450,35293029,58.93915125888333
senate,2008,extension,68,48,70.58823529411765,63445802,51026893,80.42595631465105
senate,2010,extension,74,50,67.56756756756756,66533889,45036804,67.69002184736263
senate,2012,extension,65,45,69.23076923076923,89116583,51514509,57.80574980079746
senate,2014,extension,75,57,76.0,46257317,39796794,86.033511195645
senate,2016,extension,82,58,70.73170731707317,92157686,66476155,72.13305572798345
senate,2018,extension,69,48,69.56521739130434,86929941,60376057,69.45369605162851
senate,2020,extension,84,62,73.80952380952381,86086491,60489212,70.26562622932325
senate,2022,extension,69,47,68.1159420289855,85221811,67263885,78.92801644405327
senate,2024,extension,66,48,72.72727272727273,126278295,94713277,75.00360770629663
