year,party,source,share
2002,democrat,icpsr,6.303750030423213
2002,republican,icpsr,4.789241446200922
2004,democrat,icpsr,7.995600891441203
2004,republican,icpsr,3.542506173829745
2006,democrat,icpsr,4.331146598274267
2006,republican,icpsr,3.809364584391613
2008,democrat,icpsr,5.618825107658962
2008,republican,icpsr,3.1782927804232948
2010,democrat,icpsr,8.090917048770851
2010,republican,icpsr,2.573219308859807
2012,democrat,icpsr,7.726783978319644
2012,republican,icpsr,3.1459188782618144
2014,democrat,icpsr,8.605905837911084
2014,republican,icpsr,4.493509059353521
2016,democrat,icpsr,8.415021074337096
2016,republican,icpsr,4.241043642489218
2018,democrat,extension,11.731992064987548
2018,republican,extension,5.91234250730644
2020,democrat,extension,17.45845913258194
2020,republican,extension,6.177974115629452
2022,democrat,extension,17.621788070616834
2022,republican,extension,4.405912481314858
2024,democrat,extension,17.77939836089284
2024,republican,extension,5.49539944543203
