chapter_id,party,org_level,org_name,ags,municipality,kreis,kreis_id,bundesland,population,year,observability_status,has_wayback_coverage,usable_content_threshold_met,is_quarantined,analysis_scope_included,coverage_basis,release_coverage_bucket,release_coverage_tier,board_listed,board_listed_status,official_count,official_count_status,issue_block_count,issue_block_count_status,office_address_listed,office_address_listed_status,facebook_present,facebook_present_status,instagram_present,instagram_present_status,twitter_x_present,twitter_x_present_status,youtube_present,youtube_present_status,telegram_present,telegram_present_status,tiktok_present,tiktok_present_status,n_social_platforms,n_social_platforms_status,news_count,news_count_status,social_source
1,CSU,kreisverband,CSU Aichach-Friedberg,09771130,"Friedberg, St",Aichach-Friedberg,09771,Bayern,29953,2015,crawl_succeeded_but_below_usable_threshold,1,0,0,1,feature_level,feature_observed_below_global_threshold,limited_usable,0,observed_zero,0,observed_zero,,missing_insufficient_coverage,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,,missing_insufficient_coverage,about_extraction
1,CSU,kreisverband,CSU Aichach-Friedberg,09771130,"Friedberg, St",Aichach-Friedberg,09771,Bayern,29953,2016,extractable_and_usable,1,1,0,1,full,usable_coverage,usable,1,observed_positive,140,observed_positive,,missing_insufficient_coverage,1,observed_positive,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,,coverage_available_not_extracted,about_extraction
1,CSU,kreisverband,CSU Aichach-Friedberg,09771130,"Friedberg, St",Aichach-Friedberg,09771,Bayern,29953,2017,extractable_and_usable,1,1,0,1,full,usable_coverage,usable,0,observed_zero,0,observed_zero,,missing_insufficient_coverage,1,observed_positive,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,1,observed_positive,about_extraction
1,CSU,kreisverband,CSU Aichach-Friedberg,09771130,"Friedberg, St",Aichach-Friedberg,09771,Bayern,29953,2018,crawl_succeeded_but_below_usable_threshold,1,0,0,1,feature_level,feature_observed_below_global_threshold,limited_usable,0,observed_zero,0,observed_zero,,missing_insufficient_coverage,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,,missing_insufficient_coverage,about_extraction
1,CSU,kreisverband,CSU Aichach-Friedberg,09771130,"Friedberg, St",Aichach-Friedberg,09771,Bayern,29953,2019,crawl_succeeded_but_below_usable_threshold,1,0,0,1,feature_level,feature_observed_below_global_threshold,limited_usable,0,observed_zero,0,observed_zero,,missing_insufficient_coverage,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,21,observed_positive,about_extraction
1,CSU,kreisverband,CSU Aichach-Friedberg,09771130,"Friedberg, St",Aichach-Friedberg,09771,Bayern,29953,2020,no_archive_coverage,0,0,0,1,,no_archived_snapshot,missing_archive,,missing_insufficient_coverage,,missing_insufficient_coverage,,missing_insufficient_coverage,,missing_insufficient_coverage,,missing_insufficient_coverage,,missing_insufficient_coverage,,missing_insufficient_coverage,,missing_insufficient_coverage,,missing_insufficient_coverage,,missing_insufficient_coverage,,missing_insufficient_coverage,14,observed_positive,
1,CSU,kreisverband,CSU Aichach-Friedberg,09771130,"Friedberg, St",Aichach-Friedberg,09771,Bayern,29953,2021,extractable_and_usable,1,1,0,1,full,usable_coverage,usable,1,observed_positive,26,observed_positive,,missing_insufficient_coverage,1,observed_positive,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,11,observed_positive,about_extraction
1,CSU,kreisverband,CSU Aichach-Friedberg,09771130,"Friedberg, St",Aichach-Friedberg,09771,Bayern,29953,2022,extractable_and_usable,1,1,0,1,full,usable_coverage,usable,0,observed_zero,0,observed_zero,49,observed_positive,1,observed_positive,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,6,observed_positive,about_extraction
1,CSU,kreisverband,CSU Aichach-Friedberg,09771130,"Friedberg, St",Aichach-Friedberg,09771,Bayern,29953,2023,crawl_succeeded_but_below_usable_threshold,1,0,0,1,feature_level,feature_observed_below_global_threshold,limited_usable,0,observed_zero,0,observed_zero,,missing_insufficient_coverage,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,1,observed_positive,about_extraction
1,CSU,kreisverband,CSU Aichach-Friedberg,09771130,"Friedberg, St",Aichach-Friedberg,09771,Bayern,29953,2024,crawl_succeeded_but_below_usable_threshold,1,0,0,1,feature_level,feature_observed_below_global_threshold,limited_usable,1,observed_positive,71,observed_positive,,missing_insufficient_coverage,1,observed_positive,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,1,observed_positive,about_extraction
1,CSU,kreisverband,CSU Aichach-Friedberg,09771130,"Friedberg, St",Aichach-Friedberg,09771,Bayern,29953,2025,extractable_and_usable,1,1,0,1,full,usable_coverage,usable,,missing_insufficient_coverage,,missing_insufficient_coverage,,missing_insufficient_coverage,1,observed_positive,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,about_extraction
1,CSU,kreisverband,CSU Aichach-Friedberg,09771130,"Friedberg, St",Aichach-Friedberg,09771,Bayern,29953,2026,extractable_and_usable,1,1,0,1,full,usable_coverage,usable,1,observed_positive,75,observed_positive,,missing_insufficient_coverage,1,observed_positive,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,,missing_insufficient_coverage,about_extraction
2,CSU,kreisverband,CSU Altötting,09171111,"Altötting, St",Altötting,09171,Bayern,13138,2015,crawl_succeeded_but_below_usable_threshold,1,0,0,1,feature_level,feature_observed_below_global_threshold,limited_usable,0,observed_zero,0,observed_zero,,missing_insufficient_coverage,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,30,observed_positive,about_extraction
2,CSU,kreisverband,CSU Altötting,09171111,"Altötting, St",Altötting,09171,Bayern,13138,2016,extractable_and_usable,1,1,0,1,full,usable_coverage,usable,1,observed_positive,33,observed_positive,,missing_insufficient_coverage,1,observed_positive,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,20,observed_positive,about_extraction
2,CSU,kreisverband,CSU Altötting,09171111,"Altötting, St",Altötting,09171,Bayern,13138,2017,extractable_and_usable,1,1,0,1,full,usable_coverage,usable,1,observed_positive,53,observed_positive,,missing_insufficient_coverage,1,observed_positive,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,about_extraction
2,CSU,kreisverband,CSU Altötting,09171111,"Altötting, St",Altötting,09171,Bayern,13138,2018,crawl_succeeded_but_below_usable_threshold,1,0,0,1,feature_level,feature_observed_below_global_threshold,limited_usable,,missing_insufficient_coverage,,missing_insufficient_coverage,,missing_insufficient_coverage,,missing_insufficient_coverage,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,,missing_insufficient_coverage,page_scan
2,CSU,kreisverband,CSU Altötting,09171111,"Altötting, St",Altötting,09171,Bayern,13138,2019,crawl_succeeded_but_no_extractable_pages,1,0,0,1,,archived_success_no_structured_signal,weak_unlikely,,missing_insufficient_coverage,,missing_insufficient_coverage,,missing_insufficient_coverage,,missing_insufficient_coverage,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,,missing_insufficient_coverage,page_scan
2,CSU,kreisverband,CSU Altötting,09171111,"Altötting, St",Altötting,09171,Bayern,13138,2020,no_archive_coverage,0,0,0,1,,no_archived_snapshot,missing_archive,,missing_insufficient_coverage,,missing_insufficient_coverage,,missing_insufficient_coverage,,missing_insufficient_coverage,,missing_insufficient_coverage,,missing_insufficient_coverage,,missing_insufficient_coverage,,missing_insufficient_coverage,,missing_insufficient_coverage,,missing_insufficient_coverage,,missing_insufficient_coverage,20,observed_positive,
2,CSU,kreisverband,CSU Altötting,09171111,"Altötting, St",Altötting,09171,Bayern,13138,2021,extractable_and_usable,1,1,0,1,full,usable_coverage,usable,1,observed_positive,35,observed_positive,,missing_insufficient_coverage,1,observed_positive,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,15,observed_positive,about_extraction
2,CSU,kreisverband,CSU Altötting,09171111,"Altötting, St",Altötting,09171,Bayern,13138,2022,extractable_and_usable,1,1,0,1,full,usable_coverage,usable,1,observed_positive,34,observed_positive,,missing_insufficient_coverage,1,observed_positive,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,,missing_insufficient_coverage,about_extraction
2,CSU,kreisverband,CSU Altötting,09171111,"Altötting, St",Altötting,09171,Bayern,13138,2023,crawl_succeeded_but_below_usable_threshold,1,0,0,1,feature_level,feature_observed_below_global_threshold,limited_usable,0,observed_zero,0,observed_zero,,missing_insufficient_coverage,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,,missing_insufficient_coverage,about_extraction
2,CSU,kreisverband,CSU Altötting,09171111,"Altötting, St",Altötting,09171,Bayern,13138,2024,crawl_succeeded_but_below_usable_threshold,1,0,0,1,feature_level,feature_observed_below_global_threshold,limited_usable,0,observed_zero,0,observed_zero,,missing_insufficient_coverage,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,0,observed_zero,,missing_insufficient_coverage,about_extraction
